Player,BankIni,BankInc,BankIncBet,TotalGames,TotalBet,TotalB,TotalR,TotalC,TotalK,PreflopVCom,FlopVCom,TurnVCom,RiverVCom,FlopVSim,TurnVSim,RiverVSim
UrLosers,2018.28,-1092.18,69.5,7.0,41.0,8.0,6.0,12.0,17.0,0.495885714286,0.614071428571,0.6141,0.605057142857,0.671596825543,0.695327966357,0.762609659243
McMaster,109.38,-73.08,1879.0,231.0,1956.0,470.0,271.0,422.0,170.0,0.572436363636,0.614828571429,0.62312034632,0.640717748918,0.628669787931,0.743598911426,0.820267609206
Drack2K,185.7,-144.5,279.0,45.0,248.0,79.0,18.0,80.0,76.0,0.570902222222,0.614602222222,0.6215,0.62154,0.636526550787,0.727158624133,0.807877185064
FF,112.3,737.68,456.32,69.0,507.0,96.0,77.0,121.0,80.0,0.573673913043,0.631704347826,0.635391304348,0.658053623188,0.611072723409,0.732751852135,0.839330498083
Thump,145.96,1253.32,1154.24,154.0,868.0,197.0,98.0,247.0,260.0,0.568514285714,0.625842857143,0.656997402597,0.669703896104,0.642983509587,0.758512513399,0.841245644115
some,81.48,20.8,192.0,14.0,123.0,20.0,22.0,20.0,17.0,0.622478571429,0.678457142857,0.7015,0.664321428571,0.704376475864,0.793457492886,0.813720790514
osprey44,103.7,17.94,157.74,22.0,167.0,44.0,23.0,30.0,22.0,0.598213636364,0.66315,0.632245454545,0.541804545455,0.720758023495,0.780508287232,0.78746923595
jacobyte,272.4,429.52,63.0,13.0,169.0,28.0,37.0,9.0,11.0,0.452261538462,0.480307692308,0.572153846154,0.548638461538,0.487791211162,0.665221236438,0.7422653085
iahm,906.34,-26.0,11.5,5.0,22.0,1.0,0.0,16.0,9.0,0.68684,0.74714,0.76736,0.71232,0.72431434112,0.8371142303,0.89639486564
L0QTIS,642.2,41.58,250.26,27.0,207.0,38.0,18.0,71.0,38.0,0.544022222222,0.567566666667,0.599107407407,0.625811111111,0.6047148774,0.727842048507,0.846895154078
Floppy,938.4,-540.9,0.0,2.0,10.0,3.0,0.0,4.0,3.0,0.4816,0.577,0.5257,0.4518,0.58863237605,0.6039384985,0.60433096315
bigkicker,125.82,1153.86,7987.22,1196.0,8006.0,2152.0,871.0,2240.0,1735.0,0.54274138796,0.584098494983,0.589644063545,0.600576003344,0.5865835989,0.695440859324,0.810834809547
